# Pathway	reseeded_05.bin.8.bam_Coverage
UNMAPPED	1.0000000000
UNINTEGRATED	1.0000000000
UNINTEGRATED|unclassified	1.0000000000
ORNDEG-PWY: superpathway of ornithine degradation	0.3862052140
ORNDEG-PWY: superpathway of ornithine degradation|unclassified	0.3862052140
PWY0-862: (5Z)-dodecenoate biosynthesis I	0.0000189794
PWY0-862: (5Z)-dodecenoate biosynthesis I|unclassified	0.0000189794
VALSYN-PWY: L-valine biosynthesis	0.1476156964
VALSYN-PWY: L-valine biosynthesis|unclassified	0.1476156964
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	0.0780946320
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|unclassified	0.0780946320
PWY-7663: gondoate biosynthesis (anaerobic)	0.0000126530
PWY-7663: gondoate biosynthesis (anaerobic)|unclassified	0.0000126530
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	0.0005293211
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|unclassified	0.0005293211
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	0.0005293211
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|unclassified	0.0005293211
PWY-6609: adenine and adenosine salvage III	0.0000000000
PWY-6609: adenine and adenosine salvage III|unclassified	0.0000000000
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	0.0000000000
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|unclassified	0.0000000000
