# Pathway	reseeded_05.bin.11.bam_Coverage
UNMAPPED	1.0000000000
UNINTEGRATED	1.0000000000
UNINTEGRATED|unclassified	1.0000000000
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	1.0000000000
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|unclassified	1.0000000000
VALSYN-PWY: L-valine biosynthesis	0.9999999899
VALSYN-PWY: L-valine biosynthesis|unclassified	0.9999999899
PWY0-862: (5Z)-dodecenoate biosynthesis I	0.9999014863
PWY0-862: (5Z)-dodecenoate biosynthesis I|unclassified	0.9999014863
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II	0.9999951170
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|unclassified	0.9999951170
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II	0.9999951170
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II|unclassified	0.9999951170
PWY-7663: gondoate biosynthesis (anaerobic)	0.9998522556
PWY-7663: gondoate biosynthesis (anaerobic)|unclassified	0.9998522556
PWY-7664: oleate biosynthesis IV (anaerobic)	0.7395887424
PWY-7664: oleate biosynthesis IV (anaerobic)|unclassified	0.7395887424
FASYN-ELONG-PWY: fatty acid elongation -- saturated	0.7088244352
FASYN-ELONG-PWY: fatty acid elongation -- saturated|unclassified	0.7088244352
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	0.9988770895
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|unclassified	0.9988770895
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	0.6461273125
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)|unclassified	0.6461273125
PWY-7858: (5Z)-dodecenoate biosynthesis II	0.6461341617
PWY-7858: (5Z)-dodecenoate biosynthesis II|unclassified	0.6461341617
HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)	0.9719814004
HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)|unclassified	0.9719814004
HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)	0.9719814004
HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)|unclassified	0.9719814004
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	0.0590236237
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|unclassified	0.0590236237
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I	0.0510218944
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I|unclassified	0.0510218944
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I	0.0926373058
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I|unclassified	0.0926373058
PWY-6703: preQ0 biosynthesis	0.0105085516
PWY-6703: preQ0 biosynthesis|unclassified	0.0105085516
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II	0.0000925574
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II|unclassified	0.0000925574
PWY-7221: guanosine ribonucleotides de novo biosynthesis	0.0637260131
PWY-7221: guanosine ribonucleotides de novo biosynthesis|unclassified	0.0637260131
FAO-PWY: fatty acid &beta;-oxidation I (generic)	0.0025930131
FAO-PWY: fatty acid &beta;-oxidation I (generic)|unclassified	0.0025930131
PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)	0.0025924840
PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)|unclassified	0.0025924840
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	0.0000000000
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|unclassified	0.0000000000
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	0.0014008690
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|unclassified	0.0014008690
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	0.0014008690
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|unclassified	0.0014008690
PWY0-1479: tRNA processing	0.0000000000
PWY0-1479: tRNA processing|unclassified	0.0000000000
PWY-5138: fatty acid &beta;-oxidation IV (unsaturated, even number)	0.0025908981
PWY-5138: fatty acid &beta;-oxidation IV (unsaturated, even number)|unclassified	0.0025908981
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	0.0000000000
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|unclassified	0.0000000000
PWY-6823: molybdopterin biosynthesis	0.0092975933
PWY-6823: molybdopterin biosynthesis|unclassified	0.0092975933
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	0.0000001209
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|unclassified	0.0000001209
PWY-5103: L-isoleucine biosynthesis III	0.0000000000
PWY-5103: L-isoleucine biosynthesis III|unclassified	0.0000000000
PWY-841: superpathway of purine nucleotides de novo biosynthesis I	0.0000000000
PWY-841: superpathway of purine nucleotides de novo biosynthesis I|unclassified	0.0000000000
GLYOXYLATE-BYPASS: glyoxylate cycle	0.0000000000
GLYOXYLATE-BYPASS: glyoxylate cycle|unclassified	0.0000000000
PWY-5913: partial TCA cycle (obligate autotrophs)	0.0000000000
PWY-5913: partial TCA cycle (obligate autotrophs)|unclassified	0.0000000000
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	0.0000000000
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|unclassified	0.0000000000
PWY-5695: inosine 5'-phosphate degradation	0.0000000000
PWY-5695: inosine 5'-phosphate degradation|unclassified	0.0000000000
PWY-8178: pentose phosphate pathway (non-oxidative branch) II	0.0000000000
PWY-8178: pentose phosphate pathway (non-oxidative branch) II|unclassified	0.0000000000
PWY-6123: inosine-5'-phosphate biosynthesis I	0.0000000000
PWY-6123: inosine-5'-phosphate biosynthesis I|unclassified	0.0000000000
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	0.0000000000
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|unclassified	0.0000000000
ARO-PWY: chorismate biosynthesis I	0.0000000000
ARO-PWY: chorismate biosynthesis I|unclassified	0.0000000000
PWY-6124: inosine-5'-phosphate biosynthesis II	0.0000000000
PWY-6124: inosine-5'-phosphate biosynthesis II|unclassified	0.0000000000
PWY-5973: cis-vaccenate biosynthesis	0.0000000000
PWY-5973: cis-vaccenate biosynthesis|unclassified	0.0000000000
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	0.0000000000
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|unclassified	0.0000000000
PWY-7234: inosine-5'-phosphate biosynthesis III	0.0000000000
PWY-7234: inosine-5'-phosphate biosynthesis III|unclassified	0.0000000000
PWY-7117: C4 photosynthetic carbon assimilation cycle, PEPCK type	0.0000000000
PWY-7117: C4 photosynthetic carbon assimilation cycle, PEPCK type|unclassified	0.0000000000
PWY-6700: queuosine biosynthesis I (de novo)	0.0000000000
PWY-6700: queuosine biosynthesis I (de novo)|unclassified	0.0000000000
PWY-5855: ubiquinol-7 biosynthesis (early decarboxylation)	0.0000000000
PWY-5855: ubiquinol-7 biosynthesis (early decarboxylation)|unclassified	0.0000000000
