# Pathway	control.bin.5.bam_Coverage
UNMAPPED	1.0000000000
UNINTEGRATED	1.0000000000
UNINTEGRATED|unclassified	1.0000000000
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II	0.2382922523
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|unclassified	0.2382922523
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II	0.2382922523
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II|unclassified	0.2382922523
PWY-7663: gondoate biosynthesis (anaerobic)	0.6715267537
PWY-7663: gondoate biosynthesis (anaerobic)|unclassified	0.6715267537
PWY0-862: (5Z)-dodecenoate biosynthesis I	0.1545982582
PWY0-862: (5Z)-dodecenoate biosynthesis I|unclassified	0.1545982582
FAO-PWY: fatty acid &beta;-oxidation I (generic)	0.0000000007
FAO-PWY: fatty acid &beta;-oxidation I (generic)|unclassified	0.0000000007
PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)	0.0000000006
PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)|unclassified	0.0000000006
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I	0.0000000000
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I|unclassified	0.0000000000
PWY-5138: fatty acid &beta;-oxidation IV (unsaturated, even number)	0.0000000004
PWY-5138: fatty acid &beta;-oxidation IV (unsaturated, even number)|unclassified	0.0000000004
PWY-7221: guanosine ribonucleotides de novo biosynthesis	0.0000000000
PWY-7221: guanosine ribonucleotides de novo biosynthesis|unclassified	0.0000000000
