# Pathway	reseeded_24.bin.10.bam_Coverage
UNMAPPED	1.0000000000
UNINTEGRATED	1.0000000000
UNINTEGRATED|unclassified	1.0000000000
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	0.9999165349
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|unclassified	0.9999165349
PWY0-862: (5Z)-dodecenoate biosynthesis I	0.1777832429
PWY0-862: (5Z)-dodecenoate biosynthesis I|unclassified	0.1777832429
PWY-7663: gondoate biosynthesis (anaerobic)	0.1261495789
PWY-7663: gondoate biosynthesis (anaerobic)|unclassified	0.1261495789
PWY-7197: pyrimidine deoxyribonucleotide phosphorylation	0.0048589016
PWY-7197: pyrimidine deoxyribonucleotide phosphorylation|unclassified	0.0048589016
PWY-6123: inosine-5'-phosphate biosynthesis I	0.0000000000
PWY-6123: inosine-5'-phosphate biosynthesis I|unclassified	0.0000000000
PWY-7234: inosine-5'-phosphate biosynthesis III	0.0000000000
PWY-7234: inosine-5'-phosphate biosynthesis III|unclassified	0.0000000000
PWY-7221: guanosine ribonucleotides de novo biosynthesis	0.0000000000
PWY-7221: guanosine ribonucleotides de novo biosynthesis|unclassified	0.0000000000
PWY-6124: inosine-5'-phosphate biosynthesis II	0.0000000000
PWY-6124: inosine-5'-phosphate biosynthesis II|unclassified	0.0000000000
