# Pathway	reseeded_24.bin.8.bam_Coverage
UNMAPPED	1.0000000000
UNINTEGRATED	1.0000000000
UNINTEGRATED|unclassified	1.0000000000
PWY66-391: fatty acid &beta;-oxidation VI (mammalian peroxisome)	0.9998460420
PWY66-391: fatty acid &beta;-oxidation VI (mammalian peroxisome)|unclassified	0.9998460420
PWY-7663: gondoate biosynthesis (anaerobic)	0.9997829096
PWY-7663: gondoate biosynthesis (anaerobic)|unclassified	0.9997829096
VALSYN-PWY: L-valine biosynthesis	0.9992829758
VALSYN-PWY: L-valine biosynthesis|unclassified	0.9992829758
PWY0-862: (5Z)-dodecenoate biosynthesis I	0.9912707822
PWY0-862: (5Z)-dodecenoate biosynthesis I|unclassified	0.9912707822
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	0.9812299729
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|unclassified	0.9812299729
PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)	0.9997696134
PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)|unclassified	0.9997696134
PWY-5103: L-isoleucine biosynthesis III	0.9705727079
PWY-5103: L-isoleucine biosynthesis III|unclassified	0.9705727079
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	0.6264759709
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|unclassified	0.6264759709
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	0.9633694092
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|unclassified	0.9633694092
PWY-7664: oleate biosynthesis IV (anaerobic)	0.0125918964
PWY-7664: oleate biosynthesis IV (anaerobic)|unclassified	0.0125918964
FASYN-ELONG-PWY: fatty acid elongation -- saturated	0.0108127593
FASYN-ELONG-PWY: fatty acid elongation -- saturated|unclassified	0.0108127593
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	0.7497265641
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|unclassified	0.7497265641
PWY-5989: stearate biosynthesis II (bacteria and plants)	0.0081315554
PWY-5989: stearate biosynthesis II (bacteria and plants)|unclassified	0.0081315554
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	0.0081315538
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)|unclassified	0.0081315538
PWY-7858: (5Z)-dodecenoate biosynthesis II	0.0081312667
PWY-7858: (5Z)-dodecenoate biosynthesis II|unclassified	0.0081312667
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	0.2431133011
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|unclassified	0.2431133011
ARO-PWY: chorismate biosynthesis I	0.5970197434
ARO-PWY: chorismate biosynthesis I|unclassified	0.5970197434
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	0.6922637653
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|unclassified	0.6922637653
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I	0.0368888653
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I|unclassified	0.0368888653
PWY-6519: 8-amino-7-oxononanoate biosynthesis I	0.0056560017
PWY-6519: 8-amino-7-oxononanoate biosynthesis I|unclassified	0.0056560017
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II	0.1563505473
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|unclassified	0.1563505473
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II	0.1563505473
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II|unclassified	0.1563505473
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I	0.1834463993
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I|unclassified	0.1834463993
PWY-5973: cis-vaccenate biosynthesis	0.0067803864
PWY-5973: cis-vaccenate biosynthesis|unclassified	0.0067803864
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	0.0407582115
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|unclassified	0.0407582115
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I	0.4064330544
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|unclassified	0.4064330544
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I	0.0140812519
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|unclassified	0.0140812519
PWY-8178: pentose phosphate pathway (non-oxidative branch) II	0.3256058798
PWY-8178: pentose phosphate pathway (non-oxidative branch) II|unclassified	0.3256058798
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II	0.1091069063
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II|unclassified	0.1091069063
GLUTORN-PWY: L-ornithine biosynthesis I	0.4093444969
GLUTORN-PWY: L-ornithine biosynthesis I|unclassified	0.4093444969
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.0524672656
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|unclassified	0.0524672656
PWY-7221: guanosine ribonucleotides de novo biosynthesis	0.1768872476
PWY-7221: guanosine ribonucleotides de novo biosynthesis|unclassified	0.1768872476
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	0.2789234598
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|unclassified	0.2789234598
PWY-6292: superpathway of L-cysteine biosynthesis (mammalian)	0.2801674796
PWY-6292: superpathway of L-cysteine biosynthesis (mammalian)|unclassified	0.2801674796
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	0.0207361834
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|unclassified	0.0207361834
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	0.0207361834
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|unclassified	0.0207361834
GLYOXYLATE-BYPASS: glyoxylate cycle	0.1764686685
GLYOXYLATE-BYPASS: glyoxylate cycle|unclassified	0.1764686685
PENTOSE-P-PWY: pentose phosphate pathway	0.0295955982
PENTOSE-P-PWY: pentose phosphate pathway|unclassified	0.0295955982
PWY0-1533: methylphosphonate degradation I	0.0006610344
PWY0-1533: methylphosphonate degradation I|unclassified	0.0006610344
PWY-7111: pyruvate fermentation to isobutanol (engineered)	0.0002339553
PWY-7111: pyruvate fermentation to isobutanol (engineered)|unclassified	0.0002339553
PWY-6123: inosine-5'-phosphate biosynthesis I	0.1264557320
PWY-6123: inosine-5'-phosphate biosynthesis I|unclassified	0.1264557320
HISTSYN-PWY: L-histidine biosynthesis	0.0012425692
HISTSYN-PWY: L-histidine biosynthesis|unclassified	0.0012425692
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	0.0027120758
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|unclassified	0.0027120758
HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)	0.0245335335
HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)|unclassified	0.0245335335
GLUCONEO-PWY: gluconeogenesis I	0.0000009057
GLUCONEO-PWY: gluconeogenesis I|unclassified	0.0000009057
DAPLYSINESYN-PWY: L-lysine biosynthesis I	0.0000007366
DAPLYSINESYN-PWY: L-lysine biosynthesis I|unclassified	0.0000007366
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis	0.0020313431
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis|unclassified	0.0020313431
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	0.0026310097
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|unclassified	0.0026310097
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	0.0021713001
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|unclassified	0.0021713001
PWY-5686: UMP biosynthesis I	0.0037058283
PWY-5686: UMP biosynthesis I|unclassified	0.0037058283
PWY-7790: UMP biosynthesis II	0.0037058283
PWY-7790: UMP biosynthesis II|unclassified	0.0037058283
PWY-7791: UMP biosynthesis III	0.0037058283
PWY-7791: UMP biosynthesis III|unclassified	0.0037058283
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	0.0000090577
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|unclassified	0.0000090577
PWY-5097: L-lysine biosynthesis VI	0.0000005729
PWY-5097: L-lysine biosynthesis VI|unclassified	0.0000005729
P161-PWY: acetylene degradation (anaerobic)	0.0001403868
P161-PWY: acetylene degradation (anaerobic)|unclassified	0.0001403868
PWY0-1477: ethanolamine utilization	0.0001403868
PWY0-1477: ethanolamine utilization|unclassified	0.0001403868
PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	0.0000000578
PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II|unclassified	0.0000000578
PWY-2942: L-lysine biosynthesis III	0.0000004911
PWY-2942: L-lysine biosynthesis III|unclassified	0.0000004911
PWY-6823: molybdopterin biosynthesis	0.0000043053
PWY-6823: molybdopterin biosynthesis|unclassified	0.0000043053
PANTO-PWY: phosphopantothenate biosynthesis I	0.0005526008
PANTO-PWY: phosphopantothenate biosynthesis I|unclassified	0.0005526008
HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)	0.0003841555
HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)|unclassified	0.0003841555
HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)	0.0003841555
HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)|unclassified	0.0003841555
PWY-7977: L-methionine biosynthesis IV	0.0000003274
PWY-7977: L-methionine biosynthesis IV|unclassified	0.0000003274
PWY-6969: TCA cycle V (2-oxoglutarate synthase)	0.0000000001
PWY-6969: TCA cycle V (2-oxoglutarate synthase)|unclassified	0.0000000001
PWY-7953: UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)	0.0000066084
PWY-7953: UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)|unclassified	0.0000066084
P221-PWY: octane oxidation	0.0000000451
P221-PWY: octane oxidation|unclassified	0.0000000451
PWY-7197: pyrimidine deoxyribonucleotide phosphorylation	0.0001079735
PWY-7197: pyrimidine deoxyribonucleotide phosphorylation|unclassified	0.0001079735
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)	0.0000000001
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)|unclassified	0.0000000001
THRESYN-PWY: superpathway of L-threonine biosynthesis	0.0000000347
THRESYN-PWY: superpathway of L-threonine biosynthesis|unclassified	0.0000000347
PWY-5695: inosine 5'-phosphate degradation	0.0000000611
PWY-5695: inosine 5'-phosphate degradation|unclassified	0.0000000611
PWY66-389: phytol degradation	0.0000000451
PWY66-389: phytol degradation|unclassified	0.0000000451
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	0.0000000001
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|unclassified	0.0000000001
PWY-5130: 2-oxobutanoate degradation I	0.0000000002
PWY-5130: 2-oxobutanoate degradation I|unclassified	0.0000000002
PWY-7234: inosine-5'-phosphate biosynthesis III	0.0000000000
PWY-7234: inosine-5'-phosphate biosynthesis III|unclassified	0.0000000000
PWY1ZNC-1: assimilatory sulfate reduction IV	0.0000001329
PWY1ZNC-1: assimilatory sulfate reduction IV|unclassified	0.0000001329
PWY-6700: queuosine biosynthesis I (de novo)	0.0000001435
PWY-6700: queuosine biosynthesis I (de novo)|unclassified	0.0000001435
PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis	0.0000000000
PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis|unclassified	0.0000000000
PWY-6124: inosine-5'-phosphate biosynthesis II	0.0000000000
PWY-6124: inosine-5'-phosphate biosynthesis II|unclassified	0.0000000000
PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic)	0.0000000000
PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic)|unclassified	0.0000000000
PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic)	0.0000000000
PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic)|unclassified	0.0000000000
PWY-8011: L-serine biosynthesis II	0.0000000088
PWY-8011: L-serine biosynthesis II|unclassified	0.0000000088
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	0.0000000000
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)|unclassified	0.0000000000
PWY-5667: CDP-diacylglycerol biosynthesis I	0.0000000000
PWY-5667: CDP-diacylglycerol biosynthesis I|unclassified	0.0000000000
PWY0-1319: CDP-diacylglycerol biosynthesis II	0.0000000000
PWY0-1319: CDP-diacylglycerol biosynthesis II|unclassified	0.0000000000
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I	0.0000000000
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I|unclassified	0.0000000000
SALVADEHYPOX-PWY: adenosine nucleotides degradation II	0.0000000000
SALVADEHYPOX-PWY: adenosine nucleotides degradation II|unclassified	0.0000000000
PWY-6608: guanosine nucleotides degradation III	0.0000000000
PWY-6608: guanosine nucleotides degradation III|unclassified	0.0000000000
PWY-6609: adenine and adenosine salvage III	0.0000000000
PWY-6609: adenine and adenosine salvage III|unclassified	0.0000000000
PWY-5384: sucrose degradation IV (sucrose phosphorylase)	0.0000000000
PWY-5384: sucrose degradation IV (sucrose phosphorylase)|unclassified	0.0000000000
PWY-7208: superpathway of pyrimidine nucleobases salvage	0.0000000000
PWY-7208: superpathway of pyrimidine nucleobases salvage|unclassified	0.0000000000
PWY66-429: fatty acid biosynthesis initiation (mitochondria)	0.0000000000
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|unclassified	0.0000000000
PWY-6749: CMP-legionaminate biosynthesis I	0.0000000000
PWY-6749: CMP-legionaminate biosynthesis I|unclassified	0.0000000000
