contigName	contigLen	totalAvgDepth	SRR10420352_mapped_all.sorted.bam	SRR10420352_mapped_all.sorted.bam-var
bin.10_k119_5632	152316	0.946236	0.946236	54.3677
bin.10_k119_5721	132952	0.962937	0.962937	49.6813
bin.10_k119_21425	284226	1.98843	1.98843	125.447
bin.10_k119_19083	306152	0.678898	0.678898	35.7498
bin.10_k119_12557	773930	1.42114	1.42114	115.661
bin.10_k119_18674	93269	7.44752	7.44752	3769.29
bin.11_k119_4909	24933	0.0456361	0.0456361	0.0547654
bin.11_k119_8676	128582	2.22413	2.22413	168.507
bin.11_k119_16677	175161	1.29105	1.29105	112.622
bin.11_k119_15397	267875	1.37935	1.37935	104.444
bin.11_k119_5266	74233	2.36087	2.36087	210.079
bin.11_k119_6978	122937	1.79974	1.79974	135.833
bin.11_k119_3866	32231	2.29279	2.29279	222.73
bin.11_k119_16243	475918	1.19532	1.19532	86.1578
bin.11_k119_20907	477987	2.35223	2.35223	220.135
bin.11_k119_10055	133083	3.23671	3.23671	287.405
bin.11_k119_21445	410659	2.27617	2.27617	287.348
bin.11_k119_8424	90064	1.82004	1.82004	142.358
bin.11_k119_7274	45349	2.04724	2.04724	190.33
bin.11_k119_19950	362497	4.77303	4.77303	1349.17
bin.11_k119_15818	14906	6.93582	6.93582	857.107
bin.11_k119_16892	65691	2.10215	2.10215	205.804
bin.11_k119_9534	382089	1.89078	1.89078	196.057
bin.11_k119_7776	218951	1.79479	1.79479	252.217
bin.12_k119_9809	27573	78.386	78.386	43599.8
bin.12_k119_21412	52147	5.36316	5.36316	575.709
bin.12_k119_15927	63942	7.9208	7.9208	832.139
bin.12_k119_11668	49663	12.0994	12.0994	14258.5
bin.12_k119_4382	108200	43.6932	43.6932	22439.5
bin.12_k119_1384	165383	11.1543	11.1543	3516.84
bin.12_k119_12270	403395	10.2527	10.2527	3074.56
bin.12_k119_12319	13881	5.42794	5.42794	557.244
bin.12_k119_14951	334406	7.464	7.464	925.064
bin.12_k119_10662	271770	11.3918	11.3918	3533.88
bin.12_k119_12950	430295	5.70238	5.70238	813.824
bin.12_k119_11424	93574	3.21119	3.21119	151.469
bin.12_k119_19927	165803	8.48331	8.48331	2796.38
bin.12_k119_4485	64840	5.80838	5.80838	472.001
bin.12_k119_11449	82312	4.07065	4.07065	301.565
bin.12_k119_10736	173595	17.4609	17.4609	5586.01
bin.12_k119_8724	519753	7.69002	7.69002	1372.66
bin.12_k119_16764	49119	15.0754	15.0754	1471.72
bin.12_k119_10835	45079	4.47504	4.47504	1119.23
bin.12_k119_13254	159515	12.8148	12.8148	5838.12
bin.12_k119_13305	127994	5.68996	5.68996	803.99
bin.12_k119_21315	7379	14.3653	14.3653	1778.48
bin.12_k119_12631	243422	8.66514	8.66514	2054.69
bin.12_k119_18940	5227	8.50955	8.50955	513.605
bin.12_k119_12764	141502	12.2693	12.2693	1389.49
bin.13_k119_11638	23617	4.37129	4.37129	325.489
bin.13_k119_6745	141287	7.28438	7.28438	1023.42
bin.13_k119_21413	108847	7.28039	7.28039	995.57
bin.13_k119_4955	125761	15.1126	15.1126	3569.33
bin.13_k119_20303	105258	28.4231	28.4231	11740.3
bin.13_k119_19035	490590	8.66148	8.66148	1870.35
bin.13_k119_15073	107635	13.7433	13.7433	5281.49
bin.13_k119_12196	28431	105.515	105.515	54507.1
bin.13_k119_16404	343296	8.91014	8.91014	1262.99
bin.13_k119_13078	145737	5.33906	5.33906	496.705
bin.13_k119_14067	189036	15.5159	15.5159	3540.28
bin.13_k119_21793	165605	10.6573	10.6573	17046.7
bin.13_k119_12745	406848	6.51991	6.51991	815.086
bin.14_k119_17981	105637	0.0621214	0.0621214	0.618001
bin.14_k119_1502	16657	0.00999576	0.00999576	0.00990031
bin.14_k119_3860	15484	0.0187166	0.0187166	0.0183667
bin.14_k119_15564	84810	0.177309	0.177309	15.8203
bin.14_k119_17550	191528	0.00817231	0.00817231	0.0115525
bin.14_k119_20371	74760	0.00337756	0.00337756	0.0219699
bin.14_k119_15661	97764	0.0880509	0.0880509	2.97471
bin.14_k119_20986	15230	0	0	0
bin.14_k119_14645	286147	0.0718189	0.0718189	5.33228
bin.14_k119_3876	602759	0.0299099	0.0299099	0.805644
bin.14_k119_19112	448326	0.0129012	0.0129012	0.0477037
bin.14_k119_15276	587615	0.0111394	0.0111394	0.0359759
bin.14_k119_18583	287651	0.0602085	0.0602085	4.833
bin.14_k119_21713	499264	0.0262345	0.0262345	0.251689
bin.14_k119_12791	105635	0.168754	0.168754	9.97996
bin.14_k119_21854	1.17529e+06	0.040203	0.040203	1.38524
bin.14_k119_21907	112606	0	0	0
bin.15_k119_2097	21782	131.412	131.412	552066
bin.15_k119_9466	244176	170.625	170.625	426200
bin.15_k119_12968	453576	73.0557	73.0557	37545.1
bin.15_k119_8727	149726	152.782	152.782	5.73566e+06
