contigName	contigLen	totalAvgDepth	SRR10420353_mapped_all.sorted.bam	SRR10420353_mapped_all.sorted.bam-var
bin.10_k119_5632	152316	1.16516	1.16516	22.8733
bin.10_k119_5721	132952	1.43003	1.43003	144.208
bin.10_k119_21425	284226	3.06813	3.06813	115.836
bin.10_k119_19083	306152	1.21718	1.21718	19.1232
bin.10_k119_12557	773930	2.07625	2.07625	110.656
bin.10_k119_18674	93269	7.60692	7.60692	2436.89
bin.11_k119_4909	24933	0.517492	0.517492	0.901695
bin.11_k119_8676	128582	6.83705	6.83705	288.123
bin.11_k119_16677	175161	3.84727	3.84727	73.7314
bin.11_k119_15397	267875	4.40957	4.40957	437.797
bin.11_k119_5266	74233	6.00138	6.00138	103.107
bin.11_k119_6978	122937	5.35903	5.35903	309.171
bin.11_k119_3866	32231	4.38044	4.38044	62.9035
bin.11_k119_16243	475918	4.8737	4.8737	391.573
bin.11_k119_20907	477987	6.0598	6.0598	251.481
bin.11_k119_10055	133083	8.03839	8.03839	212.689
bin.11_k119_21445	410659	5.88075	5.88075	186.746
bin.11_k119_8424	90064	5.86	5.86	147.25
bin.11_k119_7274	45349	6.9521	6.9521	393.317
bin.11_k119_19950	362497	17.4058	17.4058	26119.5
bin.11_k119_15818	14906	16.9616	16.9616	2216.52
bin.11_k119_16892	65691	6.27447	6.27447	594.552
bin.11_k119_9534	382089	4.55814	4.55814	135.815
bin.11_k119_7776	218951	5.47049	5.47049	451.303
bin.12_k119_9809	27573	196.575	196.575	245585
bin.12_k119_21412	52147	8.60348	8.60348	355.298
bin.12_k119_15927	63942	16.6325	16.6325	2057.87
bin.12_k119_11668	49663	58.7606	58.7606	557020
bin.12_k119_4382	108200	110.881	110.881	205640
bin.12_k119_1384	165383	26.0641	26.0641	29800.8
bin.12_k119_12270	403395	19.9742	19.9742	8787.5
bin.12_k119_12319	13881	8.7711	8.7711	482.202
bin.12_k119_14951	334406	19.0798	19.0798	8083.35
bin.12_k119_10662	271770	27.1005	27.1005	11293.4
bin.12_k119_12950	430295	13.4424	13.4424	4614.45
bin.12_k119_11424	93574	9.58603	9.58603	1080.23
bin.12_k119_19927	165803	19.348	19.348	18033.3
bin.12_k119_4485	64840	15.3325	15.3325	7210.12
bin.12_k119_11449	82312	10.7335	10.7335	1845.04
bin.12_k119_10736	173595	49.6296	49.6296	172530
bin.12_k119_8724	519753	19.4736	19.4736	11589
bin.12_k119_16764	49119	40.5147	40.5147	13868.7
bin.12_k119_10835	45079	15.5738	15.5738	16257
bin.12_k119_13254	159515	31.0641	31.0641	79549.4
bin.12_k119_13305	127994	15.8448	15.8448	33608.3
bin.12_k119_21315	7379	39.7612	39.7612	9878.3
bin.12_k119_12631	243422	23.149	23.149	78918.8
bin.12_k119_18940	5227	17.1213	17.1213	530.766
bin.12_k119_12764	141502	30.9223	30.9223	14932.1
bin.13_k119_11638	23617	5.41237	5.41237	73.867
bin.13_k119_6745	141287	9.20469	9.20469	716.692
bin.13_k119_21413	108847	8.09835	8.09835	458.213
bin.13_k119_4955	125761	25.9845	25.9845	7316.14
bin.13_k119_20303	105258	44.8501	44.8501	15884.5
bin.13_k119_19035	490590	14.0825	14.0825	2437.28
bin.13_k119_15073	107635	19.2308	19.2308	7325.12
bin.13_k119_12196	28431	181.198	181.198	98169.1
bin.13_k119_16404	343296	14.0778	14.0778	1161.83
bin.13_k119_13078	145737	6.22056	6.22056	248.815
bin.13_k119_14067	189036	27.0588	27.0588	8577.36
bin.13_k119_21793	165605	24.3575	24.3575	215536
bin.13_k119_12745	406848	9.83861	9.83861	988.952
bin.14_k119_17981	105637	0.0373411	0.0373411	0.0584426
bin.14_k119_1502	16657	0	0	0
bin.14_k119_3860	15484	0.0248467	0.0248467	0.0376659
bin.14_k119_15564	84810	0.0912355	0.0912355	0.291627
bin.14_k119_17550	191528	0.0656032	0.0656032	0.148912
bin.14_k119_20371	74760	0.0433186	0.0433186	0.0808992
bin.14_k119_15661	97764	0.0752454	0.0752454	0.976976
bin.14_k119_20986	15230	0.00722812	0.00722812	0.00717722
bin.14_k119_14645	286147	0.0181366	0.0181366	0.0249954
bin.14_k119_3876	602759	0.0292993	0.0292993	0.056835
bin.14_k119_19112	448326	0.0449154	0.0449154	0.131828
bin.14_k119_15276	587615	0.0586741	0.0586741	0.184205
bin.14_k119_18583	287651	0.038779	0.038779	0.0902999
bin.14_k119_21713	499264	0.0687659	0.0687659	0.206703
bin.14_k119_12791	105635	0.0758781	0.0758781	0.161977
bin.14_k119_21854	1.17529e+06	0.0511992	0.0511992	0.103411
bin.14_k119_21907	112606	0.0105463	0.0105463	0.0129507
bin.15_k119_2097	21782	444.192	444.192	6.94463e+06
bin.15_k119_9466	244176	385.816	385.816	1.59069e+06
bin.15_k119_12968	453576	145.977	145.977	146244
bin.15_k119_8727	149726	456.701	456.701	8.98604e+07
bin.15_k119_13821	859775	115.299	115.299	78815.6
bin.15_k119_17126	470346	241.932	241.932	542339
bin.1_k119_6508	251506	58.7957	58.7957	648589
bin.1_k119_21897	2.41251e+06	50.7275	50.7275	370135
bin.2_k119_12908	9247	0.345059	0.345059	1.35597
bin.2_k119_4392	118443	0.96179	0.96179	4.57016
bin.2_k119_13677	108031	1.74416	1.74416	35.9756
bin.2_k119_9834	327643	2.16674	2.16674	57.2115
bin.2_k119_14458	312425	2.44473	2.44473	1152.34
bin.3_k119_15936	27797	85.5769	85.5769	230710
bin.3_k119_3792	79729	46.281	46.281	10058.8
bin.3_k119_19701	228527	113.66	113.66	162825
bin.3_k119_6867	25986	213.397	213.397	594946
bin.3_k119_9190	194789	816.424	816.424	2.96639e+07
bin.3_k119_11286	66744	35.7784	35.7784	3983.48
bin.3_k119_15580	83245	121.492	121.492	101034
bin.3_k119_7355	913651	125.497	125.497	154969
bin.3_k119_16760	603334	105.933	105.933	1.65404e+06
bin.3_k119_10807	298608	288.821	288.821	1.86634e+06
bin.3_k119_21656	343659	414.864	414.864	1.02198e+08
bin.3_k119_12603	265969	243.76	243.76	808337
bin.3_k119_12755	206963	89.0738	89.0738	213927
bin.4_k119_14186	24278	3.40662	3.40662	19.7157
bin.4_k119_17144	201887	4.51476	4.51476	129.747
bin.4_k119_8688	17993	7.72667	7.72667	167.924
bin.5_k119_7964	4098	6.98075	6.98075	90.0277
bin.5_k119_18375	16381	39.6643	39.6643	27133.7
bin.5_k119_13556	18145	15.9177	15.9177	801.333
bin.5_k119_86	52945	49.1961	49.1961	43172.9
bin.5_k119_8090	29675	235.16	235.16	1.57265e+06
bin.5_k119_9183	139042	55.0411	55.0411	21243.4
bin.5_k119_3250	11603	13.7342	13.7342	107.764
bin.5_k119_3311	2996	9.87034	9.87034	196.183
bin.5_k119_1973	96270	23.2445	23.2445	35365.4
bin.5_k119_213	3573	9.21297	9.21297	33.3053
bin.5_k119_226	22481	84.975	84.975	10401.2
bin.5_k119_20815	261053	96.922	96.922	330958
bin.5_k119_6838	60232	33.2399	33.2399	2616.82
bin.5_k119_8162	109633	94.8204	94.8204	39095.2
bin.5_k119_2086	15654	9.45846	9.45846	2488.89
bin.5_k119_6919	20857	17.5432	17.5432	1704.03
bin.5_k119_11982	81993	72.5468	72.5468	133602
bin.5_k119_3854	106726	20.1718	20.1718	1256.64
bin.5_k119_20869	84331	11.0596	11.0596	1424.53
bin.5_k119_1107	30212	18.8076	18.8076	665.703
bin.5_k119_8185	101968	25.2175	25.2175	4041.4
bin.5_k119_9197	46593	11.7464	11.7464	1186.12
bin.5_k119_12107	3646	6.19193	6.19193	27.9235
bin.5_k119_8709	194016	22.4693	22.4693	6011.12
bin.5_k119_2934	103688	25.5554	25.5554	12887.8
bin.5_k119_3862	154420	5.06926	5.06926	84.8984
bin.5_k119_12405	29049	119.993	119.993	56288.9
bin.5_k119_13762	281485	42.6156	42.6156	32097
bin.5_k119_14591	4199	2.42776	2.42776	15.4281
bin.5_k119_6592	50274	64.7337	64.7337	40696.4
bin.5_k119_7163	193291	22.2536	22.2536	2286.58
bin.5_k119_8414	277131	21.6661	21.6661	3506.59
bin.5_k119_4591	68472	25.4511	25.4511	3166.57
bin.5_k119_20507	128861	14.2156	14.2156	1992.44
bin.5_k119_21452	16537	3.76146	3.76146	32.9484
bin.5_k119_20588	70283	27.9201	27.9201	1020.51
bin.5_k119_20941	88677	75.8826	75.8826	39379.8
bin.5_k119_20156	4407	59.5725	59.5725	1222.96
bin.5_k119_4801	283799	35.4031	35.4031	20330.5
bin.5_k119_6677	184609	20.9477	20.9477	7786.21
bin.5_k119_10920	38687	77.0543	77.0543	88752.6
bin.5_k119_10947	92350	21.2503	21.2503	4052.3
bin.5_k119_10949	36049	5.18948	5.18948	94.7435
bin.5_k119_10952	19086	248.799	248.799	5.40028e+06
bin.5_k119_7686	221934	35.1912	35.1912	152139
bin.5_k119_21210	171754	15.6342	15.6342	7372.19
bin.5_k119_21699	13880	6.42411	6.42411	62.0323
