contigName	contigLen	totalAvgDepth	SRR10420350_mapped_all.sorted.bam	SRR10420350_mapped_all.sorted.bam-var
bin.10_k119_5632	152316	21.6618	21.6618	5183.79
bin.10_k119_5721	132952	19.1193	19.1193	2601.95
bin.10_k119_21425	284226	20.1794	20.1794	2765.2
bin.10_k119_19083	306152	18.4032	18.4032	3137.1
bin.10_k119_12557	773930	20.8397	20.8397	3885.87
bin.10_k119_18674	93269	18.981	18.981	2343.33
bin.11_k119_4909	24933	5.64613	5.64613	1487.69
bin.11_k119_8676	128582	10.5516	10.5516	2067.16
bin.11_k119_16677	175161	9.68198	9.68198	2044.28
bin.11_k119_15397	267875	12.6392	12.6392	3391.24
bin.11_k119_5266	74233	6.76977	6.76977	926.228
bin.11_k119_6978	122937	11.0114	11.0114	2049.79
bin.11_k119_3866	32231	8.53723	8.53723	1759.37
bin.11_k119_16243	475918	10.2078	10.2078	2366.42
bin.11_k119_20907	477987	11.5476	11.5476	2755.07
bin.11_k119_10055	133083	11.3193	11.3193	1904.74
bin.11_k119_21445	410659	8.66289	8.66289	1589.05
bin.11_k119_8424	90064	10.9113	10.9113	2393.82
bin.11_k119_7274	45349	9.5495	9.5495	1008.56
bin.11_k119_19950	362497	16.7975	16.7975	4551.86
bin.11_k119_15818	14906	6.96388	6.96388	703.532
bin.11_k119_16892	65691	5.68028	5.68028	727.576
bin.11_k119_9534	382089	8.07909	8.07909	1379.6
bin.11_k119_7776	218951	14.6029	14.6029	4351.22
bin.12_k119_9809	27573	216.071	216.071	61629
bin.12_k119_21412	52147	177.151	177.151	75154.3
bin.12_k119_15927	63942	206.881	206.881	99967.1
bin.12_k119_11668	49663	187.182	187.182	89980.7
bin.12_k119_4382	108200	202.392	202.392	62886.4
bin.12_k119_1384	165383	166.203	166.203	40925.1
bin.12_k119_12270	403395	179.868	179.868	41731.8
bin.12_k119_12319	13881	187.189	187.189	52936.8
bin.12_k119_14951	334406	165.721	165.721	38737.9
bin.12_k119_10662	271770	172.03	172.03	41174.8
bin.12_k119_12950	430295	162.906	162.906	23800.8
bin.12_k119_11424	93574	197.034	197.034	286629
bin.12_k119_19927	165803	173.293	173.293	28587.8
bin.12_k119_4485	64840	163.724	163.724	20703.7
bin.12_k119_11449	82312	196.619	196.619	25610.5
bin.12_k119_10736	173595	171.722	171.722	28771.7
bin.12_k119_8724	519753	192.895	192.895	52406.2
bin.12_k119_16764	49119	236.897	236.897	56949.8
bin.12_k119_10835	45079	164.032	164.032	27786.7
bin.12_k119_13254	159515	205.042	205.042	87453.3
bin.12_k119_13305	127994	170.278	170.278	43764.3
bin.12_k119_21315	7379	328.391	328.391	54792.1
bin.12_k119_12631	243422	171.301	171.301	27547
bin.12_k119_18940	5227	337.573	337.573	110224
bin.12_k119_12764	141502	198.288	198.288	59812.2
bin.13_k119_11638	23617	2.30021	2.30021	426.803
bin.13_k119_6745	141287	3.29009	3.29009	392.267
bin.13_k119_21413	108847	3.04948	3.04948	368.757
bin.13_k119_4955	125761	4.29952	4.29952	521.798
bin.13_k119_20303	105258	7.0785	7.0785	3199.18
bin.13_k119_19035	490590	4.69362	4.69362	1034.27
bin.13_k119_15073	107635	7.35618	7.35618	2231.13
bin.13_k119_12196	28431	13.7443	13.7443	1540.22
bin.13_k119_16404	343296	3.99514	3.99514	676.503
bin.13_k119_13078	145737	3.8209	3.8209	651.861
bin.13_k119_14067	189036	6.59447	6.59447	1420.27
bin.13_k119_21793	165605	5.37077	5.37077	1268.84
bin.13_k119_12745	406848	3.55092	3.55092	700.063
bin.14_k119_17981	105637	3.07774	3.07774	245.433
bin.14_k119_1502	16657	2.03356	2.03356	211.022
bin.14_k119_3860	15484	0.453437	0.453437	3.86186
bin.14_k119_15564	84810	4.6554	4.6554	616.08
bin.14_k119_17550	191528	4.31225	4.31225	964.75
bin.14_k119_20371	74760	2.63378	2.63378	259.631
bin.14_k119_15661	97764	2.35823	2.35823	221.057
bin.14_k119_20986	15230	6.61572	6.61572	1126.66
bin.14_k119_14645	286147	3.32016	3.32016	425.831
bin.14_k119_3876	602759	3.58731	3.58731	466.815
bin.14_k119_19112	448326	4.08648	4.08648	547.582
bin.14_k119_15276	587615	3.71322	3.71322	469.489
bin.14_k119_18583	287651	5.11071	5.11071	686.482
bin.14_k119_21713	499264	3.159	3.159	447.063
bin.14_k119_12791	105635	3.15814	3.15814	433.022
bin.14_k119_21854	1.17529e+06	3.85375	3.85375	520.227
bin.14_k119_21907	112606	1.32063	1.32063	156.716
bin.15_k119_2097	21782	54.7506	54.7506	68324.1
bin.15_k119_9466	244176	33.4035	33.4035	9819.47
bin.15_k119_12968	453576	27.1016	27.1016	5732.43
bin.15_k119_8727	149726	31.6433	31.6433	25763.5
bin.15_k119_13821	859775	26.3052	26.3052	6493.99
bin.15_k119_17126	470346	23.7295	23.7295	4834.62
bin.1_k119_6508	251506	168.545	168.545	66162.4
bin.1_k119_21897	2.41251e+06	146.962	146.962	117797
bin.2_k119_12908	9247	24.6946	24.6946	4689.18
bin.2_k119_4392	118443	27.5308	27.5308	5191.69
bin.2_k119_13677	108031	27.4393	27.4393	5089.76
bin.2_k119_9834	327643	25.1165	25.1165	3980.79
bin.2_k119_14458	312425	26.6342	26.6342	6309.53
bin.3_k119_15936	27797	20.1662	20.1662	6817.69
bin.3_k119_3792	79729	10.1059	10.1059	4008.51
