# Pathway	reseeded_24.bin.13.bam_Coverage
UNMAPPED	1.0000000000
UNINTEGRATED	1.0000000000
UNINTEGRATED|unclassified	1.0000000000
SO4ASSIM-PWY: assimilatory sulfate reduction I	1.0000000000
SO4ASSIM-PWY: assimilatory sulfate reduction I|unclassified	1.0000000000
PWY1ZNC-1: assimilatory sulfate reduction IV	0.9074337540
PWY1ZNC-1: assimilatory sulfate reduction IV|unclassified	0.9074337540
PWY-7221: guanosine ribonucleotides de novo biosynthesis	0.9252328716
PWY-7221: guanosine ribonucleotides de novo biosynthesis|unclassified	0.9252328716
VALSYN-PWY: L-valine biosynthesis	0.3978065101
VALSYN-PWY: L-valine biosynthesis|unclassified	0.3978065101
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	0.0568894469
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|unclassified	0.0568894469
FAO-PWY: fatty acid &beta;-oxidation I (generic)	0.9849734149
FAO-PWY: fatty acid &beta;-oxidation I (generic)|unclassified	0.9849734149
PWY-5138: fatty acid &beta;-oxidation IV (unsaturated, even number)	0.9849734149
PWY-5138: fatty acid &beta;-oxidation IV (unsaturated, even number)|unclassified	0.9849734149
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	0.0460353634
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|unclassified	0.0460353634
PWY-5103: L-isoleucine biosynthesis III	0.0298059257
PWY-5103: L-isoleucine biosynthesis III|unclassified	0.0298059257
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I	0.0000000005
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I|unclassified	0.0000000005
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II	0.0000000002
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|unclassified	0.0000000002
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II	0.0000000002
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II|unclassified	0.0000000002
PWY-5686: UMP biosynthesis I	0.0000000000
PWY-5686: UMP biosynthesis I|unclassified	0.0000000000
PWY-7790: UMP biosynthesis II	0.0000000000
PWY-7790: UMP biosynthesis II|unclassified	0.0000000000
PWY-7791: UMP biosynthesis III	0.0000000000
PWY-7791: UMP biosynthesis III|unclassified	0.0000000000
PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)	0.0000000000
PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)|unclassified	0.0000000000
PWY0-862: (5Z)-dodecenoate biosynthesis I	0.0000000000
PWY0-862: (5Z)-dodecenoate biosynthesis I|unclassified	0.0000000000
PWY-7663: gondoate biosynthesis (anaerobic)	0.0000000000
PWY-7663: gondoate biosynthesis (anaerobic)|unclassified	0.0000000000
